da_acc,da_iou,da_miou,ll_acc,ll_iou,ll_miou,det_p,det_r,det_map50,det_map95
0.96,0.791,0.872,0.504,0.4,0.692,0.085,0.808,0.649,0.342
0.957,0.77,0.86,0.485,0.393,0.688,0.091,0.815,0.664,0.355
0.96,0.791,0.872,0.511,0.405,0.695,0.089,0.815,0.655,0.344
0.957,0.774,0.862,0.506,0.401,0.692,0.081,0.818,0.657,0.327
0.96,0.792,0.873,0.517,0.409,0.696,0.088,0.817,0.667,0.351
0.959,0.785,0.868,0.522,0.407,0.695,0.094,0.822,0.668,0.343
0.958,0.78,0.865,0.536,0.41,0.697,0.087,0.83,0.673,0.355
0.959,0.785,0.868,0.509,0.404,0.694,0.088,0.823,0.663,0.351
0.96,0.79,0.872,0.511,0.403,0.694,0.09,0.824,0.666,0.343
0.961,0.794,0.874,0.479,0.39,0.687,0.086,0.809,0.656,0.336
0.956,0.769,0.859,0.49,0.397,0.69,0.084,0.825,0.664,0.355
0.961,0.796,0.875,0.506,0.401,0.693,0.092,0.817,0.661,0.355
0.96,0.786,0.869,0.497,0.396,0.69,0.09,0.819,0.648,0.345
0.958,0.779,0.865,0.518,0.406,0.695,0.093,0.827,0.673,0.353
0.959,0.785,0.868,0.522,0.409,0.696,0.097,0.821,0.671,0.347
0.961,0.797,0.876,0.524,0.41,0.697,0.101,0.816,0.663,0.35
0.961,0.797,0.876,0.524,0.414,0.699,0.087,0.804,0.64,0.323
0.96,0.792,0.873,0.522,0.408,0.696,0.096,0.818,0.664,0.348
0.959,0.783,0.867,0.534,0.412,0.698,0.093,0.809,0.658,0.349
0.959,0.782,0.867,0.503,0.398,0.691,0.086,0.831,0.671,0.35
0.961,0.791,0.873,0.527,0.413,0.698,0.104,0.815,0.666,0.362
0.957,0.773,0.861,0.506,0.403,0.693,0.091,0.815,0.667,0.354
0.958,0.785,0.868,0.515,0.409,0.697,0.083,0.824,0.671,0.356
0.96,0.792,0.872,0.531,0.414,0.699,0.085,0.815,0.665,0.358
0.959,0.784,0.868,0.527,0.412,0.698,0.082,0.82,0.666,0.353
0.96,0.794,0.873,0.524,0.413,0.698,0.092,0.821,0.67,0.356
0.96,0.794,0.873,0.522,0.412,0.698,0.088,0.829,0.672,0.359
0.958,0.79,0.87,0.536,0.419,0.702,0.09,0.812,0.66,0.353
0.958,0.776,0.863,0.525,0.411,0.697,0.096,0.816,0.668,0.361
0.961,0.798,0.876,0.534,0.417,0.701,0.084,0.823,0.666,0.354
0.963,0.805,0.88,0.496,0.399,0.692,0.086,0.827,0.671,0.358
0.96,0.791,0.872,0.512,0.406,0.695,0.094,0.812,0.669,0.36
0.96,0.787,0.87,0.548,0.42,0.702,0.086,0.824,0.674,0.355
0.958,0.778,0.865,0.516,0.409,0.697,0.095,0.823,0.676,0.369
0.961,0.795,0.874,0.527,0.416,0.7,0.076,0.825,0.666,0.346
0.96,0.787,0.87,0.536,0.415,0.699,0.09,0.816,0.671,0.364
0.96,0.789,0.871,0.529,0.409,0.696,0.101,0.816,0.669,0.361
0.958,0.782,0.866,0.548,0.416,0.7,0.085,0.823,0.661,0.36
0.961,0.794,0.874,0.536,0.412,0.698,0.079,0.828,0.677,0.364
0.96,0.785,0.869,0.52,0.41,0.697,0.082,0.823,0.669,0.362
0.96,0.789,0.871,0.526,0.414,0.699,0.083,0.819,0.664,0.354
0.959,0.788,0.87,0.521,0.411,0.698,0.089,0.827,0.679,0.365
0.961,0.796,0.875,0.515,0.408,0.696,0.092,0.826,0.675,0.362
0.962,0.8,0.877,0.519,0.409,0.697,0.089,0.831,0.681,0.366
0.963,0.803,0.879,0.525,0.416,0.7,0.091,0.818,0.668,0.356
0.96,0.792,0.873,0.52,0.413,0.698,0.089,0.825,0.667,0.354
0.959,0.78,0.866,0.525,0.414,0.699,0.095,0.817,0.665,0.359
0.96,0.787,0.87,0.519,0.412,0.698,0.1,0.817,0.673,0.356
0.961,0.794,0.874,0.52,0.413,0.699,0.095,0.825,0.673,0.365
0.96,0.788,0.87,0.523,0.411,0.698,0.09,0.833,0.679,0.357
0.958,0.779,0.865,0.546,0.419,0.702,0.101,0.82,0.671,0.36
0.956,0.764,0.857,0.522,0.414,0.699,0.095,0.817,0.669,0.365
0.961,0.793,0.873,0.509,0.408,0.696,0.096,0.82,0.67,0.359
0.962,0.798,0.876,0.512,0.408,0.696,0.095,0.826,0.682,0.364
0.959,0.78,0.866,0.505,0.406,0.695,0.096,0.812,0.669,0.36
0.961,0.797,0.875,0.511,0.41,0.697,0.101,0.819,0.673,0.36
0.962,0.799,0.877,0.513,0.408,0.696,0.104,0.814,0.676,0.361
0.962,0.802,0.878,0.535,0.418,0.701,0.101,0.812,0.672,0.362
0.96,0.789,0.871,0.541,0.419,0.702,0.098,0.812,0.666,0.359
0.96,0.79,0.871,0.531,0.417,0.701,0.098,0.812,0.662,0.359
0.96,0.791,0.872,0.527,0.413,0.699,0.089,0.823,0.67,0.358
0.96,0.789,0.871,0.529,0.414,0.699,0.095,0.824,0.669,0.359
0.959,0.784,0.868,0.525,0.414,0.699,0.094,0.803,0.657,0.328
0.961,0.795,0.875,0.532,0.417,0.701,0.093,0.826,0.667,0.36
0.962,0.801,0.878,0.52,0.414,0.699,0.087,0.818,0.66,0.327
0.961,0.798,0.876,0.534,0.415,0.699,0.106,0.813,0.664,0.358
0.961,0.794,0.874,0.546,0.423,0.704,0.107,0.814,0.669,0.357
0.96,0.794,0.873,0.55,0.419,0.701,0.095,0.825,0.675,0.365
0.961,0.793,0.873,0.52,0.409,0.697,0.103,0.823,0.669,0.351
0.96,0.79,0.871,0.542,0.417,0.7,0.094,0.826,0.678,0.367
0.96,0.795,0.874,0.548,0.422,0.703,0.094,0.82,0.661,0.35
0.96,0.786,0.869,0.539,0.42,0.702,0.099,0.815,0.67,0.352
0.962,0.796,0.876,0.535,0.417,0.7,0.1,0.821,0.668,0.354
0.958,0.78,0.866,0.535,0.411,0.698,0.103,0.817,0.667,0.352
0.961,0.797,0.875,0.529,0.418,0.701,0.106,0.828,0.677,0.36
0.961,0.796,0.875,0.523,0.414,0.699,0.096,0.82,0.677,0.367
0.961,0.797,0.875,0.513,0.411,0.697,0.097,0.816,0.667,0.352
0.96,0.792,0.873,0.564,0.427,0.706,0.103,0.82,0.671,0.35
0.958,0.781,0.866,0.524,0.413,0.699,0.101,0.816,0.668,0.352
0.96,0.791,0.872,0.523,0.416,0.7,0.092,0.82,0.671,0.351
0.961,0.796,0.874,0.533,0.418,0.701,0.093,0.826,0.673,0.362
0.96,0.794,0.874,0.518,0.413,0.699,0.097,0.824,0.675,0.361
0.96,0.79,0.872,0.539,0.42,0.702,0.1,0.819,0.679,0.366
0.96,0.793,0.873,0.511,0.411,0.698,0.115,0.812,0.667,0.357
0.958,0.776,0.863,0.526,0.412,0.698,0.121,0.804,0.666,0.355
0.961,0.796,0.875,0.505,0.407,0.696,0.116,0.806,0.671,0.362
0.958,0.779,0.865,0.53,0.416,0.7,0.107,0.815,0.668,0.352
0.958,0.784,0.867,0.554,0.427,0.706,0.113,0.808,0.663,0.342
0.96,0.79,0.871,0.527,0.416,0.7,0.093,0.809,0.669,0.351
0.957,0.774,0.862,0.527,0.415,0.7,0.106,0.826,0.677,0.355
0.959,0.789,0.87,0.543,0.423,0.704,0.129,0.807,0.671,0.348
0.956,0.77,0.86,0.523,0.411,0.698,0.119,0.801,0.659,0.358
0.957,0.778,0.863,0.517,0.413,0.699,0.115,0.809,0.662,0.352
0.96,0.79,0.871,0.529,0.414,0.699,0.113,0.819,0.67,0.347
0.961,0.796,0.875,0.506,0.409,0.697,0.123,0.811,0.672,0.368
0.96,0.79,0.871,0.54,0.42,0.702,0.114,0.813,0.672,0.367
